,count,mean,std,min,10%,50%,90%,max,brier,type,scale,calibration_type,ATE,Balancing,ATE_error
0,10000.0,0.0751819362570053,0.04047079163835331,2.187622774629805e-05,0.01579231302623566,0.07849222795374122,0.12805574332177727,0.1588011747578244,0.23832933618260355,scaled_expit_2,2,,2.298738133087098,0.2809105710499233,2.701261866912902
0,10000.0,0.015531537325994388,0.015380465089004118,3.924672129285156e-06,0.0007864095280362693,0.010629329100649898,0.039499446171001276,0.05756948844195775,0.22729773141018886,scaled_expit_2_calibrated,2,sigmoid_calib,4.528855966546661,0.34515314038108874,0.47114403345333944
0,10000.0,0.13310849014491108,0.06246290115674875,5.865802025772915e-07,0.03406459839062983,0.1453814372216639,0.2069562806075866,0.22093064661024453,0.2563487685224976,scaled_expit_3,3,,-5.082780661192757,0.2350580519110743,10.082780661192757
0,10000.0,0.018374823398114096,0.015040004720529966,3.452993941333027e-07,0.0014983187144896604,0.015186291113704703,0.04099962434604068,0.04616434551859594,0.22798663416770265,scaled_expit_3_calibrated,3,sigmoid_calib,4.588968168982555,0.3477119769821276,0.41103183101744456
0,10000.0,0.016969393556992732,0.009900054020230968,6.98738776450103e-06,0.004457006083621701,0.01757454092555691,0.028221672386272073,0.0629210451746218,0.22667321407034433,lr,lr_model,,5.012756240966726,0.3418438945361501,0.012756240966726118
0,10000.0,0.015780114985827088,0.011658045919181698,1.3233271948243086e-06,0.0032541451547505153,0.0138882818707394,0.030221952089011125,0.06896373837250327,0.22671472650602303,lr_calibrated,lr_model,sigmoid_calib,5.030321332560122,0.34238133553521627,0.03032133256012237
0,10000.0,0.03914780305924744,0.025836146113986373,3.348715119422252e-06,0.007808313237467269,0.0332669569861615,0.07686822506730118,0.13213161082343122,0.221276337423321,GBT_cv,GBT_cv_model,,5.161405432224641,0.33839260576521596,0.1614054322246412
0,10000.0,0.01729398675709221,0.014282535707890322,9.3803847445173e-06,0.002664461849104561,0.010990520105039203,0.03968183116030981,0.06574584142181039,0.22086199904118098,GBT_cv_calibrated,GBT_cv_model,sigmoid_calib,5.064317976493168,0.3262358779088501,0.06431797649316806
0,10000.0,0.052504936558507485,0.035735025281086887,1.2896946158358347e-05,0.009629619752553787,0.045803378818968954,0.10622688194648465,0.16397533605665604,0.2208536444594757,rf_cv,rf_cv_model,,5.381423287103409,0.34423895358488277,0.38142328710340934
0,10000.0,0.01805408880181987,0.016707565600043595,4.329729640595303e-06,0.002591073619900464,0.011922687913023644,0.044679590986142124,0.06975348642222501,0.21953451463008244,rf_cv_calibrated,rf_cv_model,sigmoid_calib,5.267786031581584,0.3244139519700806,0.26778603158158365
1,10000.0,0.12054788210939096,0.08714591607017506,2.6861029315816687e-06,0.018074336883543384,0.10668682164189647,0.24468544647680138,0.5069601219845105,0.24384570178915818,scaled_expit_0.125,0.125,,6.460313219753674,0.38786912145468677,1.4603132197536741
1,10000.0,0.01451700597401288,0.012487604605326469,1.3447845687020177e-06,0.0003376962156159347,0.011818645531817884,0.033071823365433455,0.05881326177760164,0.22693004852937906,scaled_expit_0.125_calibrated,0.125,sigmoid_calib,4.869119700771873,0.3548045635732476,0.13088029922812705
1,10000.0,0.10328348491994188,0.07421149511021458,1.3412731083572993e-06,0.015292043990994516,0.09188981554822326,0.20909837131134532,0.4180701488209717,0.23869595023538245,scaled_expit_0.25,0.25,,6.169686566774268,0.3856102303336055,1.169686566774268
1,10000.0,0.01444558649058464,0.012625667391892081,9.019451893133024e-07,0.0002778544482856971,0.011567524507284516,0.03329337146520723,0.05942185662158348,0.22693336465493325,scaled_expit_0.25_calibrated,0.25,sigmoid_calib,4.871080639285207,0.3548123303502864,0.12891936071479293
1,10000.0,0.09193566215140042,0.06579454882798731,3.884021755884426e-07,0.013576527650260458,0.08217220146278409,0.18584634716428056,0.3609179358453989,0.23582555152280452,scaled_expit_0.3333333333333333,0.3333333333333333,,5.991505189714568,0.38343341081816423,0.9915051897145677
