,count,mean,std,min,10%,50%,90%,max,brier,type,scale,calibration_type,ATE,ATE_error
42_2,4802.0,0.05538246861342054,0.03461618482854348,1.078683015731663e-05,0.014928395330224279,0.0451681991985724,0.10055190610283737,0.23632921781648947,0.22404038038392207,GBT_cv,GBT_cv_model,,3.690933452821689,0.12513825618947738
42_2,4802.0,0.029447674937661174,0.020604366306417148,2.2171713246477154e-06,0.0016038917479821446,0.03027200673892394,0.05176040928034751,0.11805981456175763,0.22255466797858278,GBT_cv_calibrated,GBT_cv_model,sigmoid_calib,3.595547417030388,0.029752220398176377
42_2,4802.0,0.12550948182798372,0.08833659752160097,6.76832987610565e-05,0.02269208253630851,0.11521994373125771,0.23569388951395798,0.6767326966394436,0.22004883291926688,rf_cv,rf_cv_model,,3.738965188792888,0.1731699921606764
42_2,4802.0,0.043356300938095456,0.03591347727382025,1.480578310841807e-06,0.009243987178624914,0.03185936729426375,0.09596471526931048,0.21551439039134435,0.20565544136876976,rf_cv_calibrated,rf_cv_model,sigmoid_calib,3.4757943569371843,0.09000083969502715
42_2,4802.0,0.040789899170256785,0.013869217132327688,0.0001191991504621015,0.023752510171854924,0.04395731337403003,0.049674902950086,0.18142149743387073,0.22722195079495872,identity,identity_model,,3.620786904364271,0.054991707732059414
42_2,4802.0,0.03452246211475186,0.010692307543014862,7.733531851727982e-05,0.020791905238463183,0.03737504884059778,0.04174566313853282,0.13640013161884582,0.2271151721590725,identity_calibrated,identity_model,sigmoid_calib,3.5637726937829997,0.0020225028492117936
42_3,4802.0,0.02718222030246035,0.02191233682575502,7.107713704268548e-06,0.0026071707208896178,0.02390506451455543,0.05894635558793109,0.16166918510170114,0.22748180713487479,lr,lr_model,,3.287882847451717,0.2768618023581695
42_3,4802.0,0.026104380623675524,0.020043216741882666,3.6505584992685414e-06,0.002789904117643194,0.025267991513434784,0.050352059298861135,0.21692207970246935,0.2274673735162229,lr_calibrated,lr_model,sigmoid_calib,3.2374372909142135,0.226416245820666
42_3,4802.0,0.0656602401309088,0.03920604765616776,0.0007124849148925083,0.01926920492508355,0.0713977837928288,0.12637238543752222,0.18633497129752763,0.22526829252236588,GBT_cv,GBT_cv_model,,3.411311957960698,0.40029091286715035
42_3,4802.0,0.03474920355893871,0.01973992011275842,0.004155903225261048,0.013215790909999858,0.031406353000219656,0.06070601507931317,0.08565053440199666,0.22290577430471162,GBT_cv_calibrated,GBT_cv_model,sigmoid_calib,3.1307749003952603,0.11975385530171279
42_3,4802.0,0.12164333302912804,0.08017055543186875,6.07506503839117e-05,0.02420669895112776,0.11282599638308893,0.22163125347783894,0.5365434283834877,0.21755121453858964,rf_cv,rf_cv_model,,3.3242781994350565,0.313257154341509
42_3,4802.0,0.035320438441723896,0.021029461516858087,3.188186977493013e-05,0.006815650507083183,0.03264624195016008,0.06521897839341803,0.06906644115044569,0.20204087574351948,rf_cv_calibrated,rf_cv_model,sigmoid_calib,2.4898698346355266,0.5211512104580209
42_3,4802.0,0.02283934869799605,0.011333715296054696,6.826528342052107e-06,0.003973109010183229,0.023982256667590907,0.035725830821576675,0.055044823257089176,0.22386139867391888,identity,identity_model,,3.060011261224289,0.048990216130741615
42_3,4802.0,0.02868715487595117,0.013721724110202798,1.0667145485476759e-05,0.011011867381328182,0.029549433017389437,0.04517350297048305,0.06696811956788595,0.22377599261913883,identity_calibrated,identity_model,sigmoid_calib,3.1263120509872695,0.11529100589372199
42_4,4802.0,0.021288528943395342,0.013825560492052101,1.9729002187718336e-05,0.0093567268161452,0.018712880591576886,0.03639129967844521,0.13572062292500853,0.23823043865410157,lr,lr_model,,4.723945132786812,0.5120262649985632
42_4,4802.0,0.020531127537805612,0.009954162162983468,1.8609671538216688e-05,0.010312110698107935,0.019336549061052255,0.030827238995285392,0.10244174300258946,0.23817016702647434,lr_calibrated,lr_model,sigmoid_calib,4.690982407240332,0.479063539452083
