,count,mean,std,min,10%,50%,90%,max,brier,type,scale,calibration_type,ATE,Balancing,ATE_error
42_2,4802.0,0.05538246861342054,0.03461618482854348,1.078683015731663e-05,0.014928395330224279,0.0451681991985724,0.10055190610283737,0.23632921781648947,0.22404038038392207,GBT_cv,GBT_cv_model,,3.690933452821689,0.10965610719369612,0.12513825618947738
42_2,4802.0,0.029447674937661174,0.020604366306417148,2.2171713246477154e-06,0.0016038917479821446,0.03027200673892394,0.05176040928034751,0.11805981456175763,0.22255466797858278,GBT_cv_calibrated,GBT_cv_model,sigmoid_calib,3.595547417030388,0.08867312103139735,0.029752220398176377
42_2,4802.0,0.1002283569593594,0.07531969520740381,1.660843103079568e-05,0.02130687476690264,0.08807672099940334,0.19217539247178078,0.6352573977994134,0.22402827371067935,rf_cv,rf_cv_model,,3.7732600870238002,0.11551630892196688,0.20746489039158877
42_2,4802.0,0.04342791105441029,0.03739513762141425,3.8808783335397834e-05,0.009172787367064283,0.034231411173520576,0.09129834859929543,0.2761003864405398,0.21562904519959974,rf_cv_calibrated,rf_cv_model,sigmoid_calib,3.599494420131335,0.06091780905418452,0.033699223499123576
42_2,4802.0,0.040789899170256785,0.013869217132327688,0.0001191991504621015,0.023752510171854924,0.04395731337403003,0.049674902950086,0.18142149743387073,0.22722195079495872,identity,identity_model,,3.620786904364271,0.1126762836565375,0.054991707732059414
42_2,4802.0,0.03452246211475186,0.010692307543014862,7.733531851727982e-05,0.020791905238463183,0.03737504884059778,0.04174566313853282,0.13640013161884582,0.2271151721590725,identity_calibrated,identity_model,sigmoid_calib,3.5637726937829997,0.10959328677194385,0.0020225028492117936
42_3,4802.0,0.027184010031033167,0.021913961977760424,8.822443389955303e-06,0.0026079049996285296,0.023900192193401892,0.05895192611169648,0.1617491204617445,0.2274817138102485,lr,lr_model,,3.2878818241315395,0.125078131671576,0.276860779037992
42_3,4802.0,0.026105936273462686,0.020046532674281203,1.0633867334464142e-06,0.0027887326227055698,0.025266625886995686,0.05035659712204253,0.21700504227576517,0.2274672870598122,lr_calibrated,lr_model,sigmoid_calib,3.237432182573852,0.12387112695935652,0.22641113748030461
42_3,4802.0,0.0656602401309088,0.03920604765616776,0.0007124849148925083,0.01926920492508355,0.0713977837928288,0.12637238543752222,0.18633497129752763,0.22526829252236588,GBT_cv,GBT_cv_model,,3.411311957960698,0.11857468831740713,0.40029091286715035
42_3,4802.0,0.03474920355893871,0.01973992011275842,0.004155903225261048,0.013215790909999858,0.031406353000219656,0.06070601507931317,0.08565053440199666,0.22290577430471162,GBT_cv_calibrated,GBT_cv_model,sigmoid_calib,3.1307749003952603,0.12623109936933355,0.11975385530171279
